,0
0,552321.2966063917
1,609209.2866777703
2,482618.3769584149
3,732417.4622339681
4,420009.1973434165
5,316954.7631542608
6,676359.2993351147
7,361902.3333398625
8,497219.76801495254
9,810839.3266449869
10,517989.541193977
11,476826.22035986185
12,184920.83145258576
13,557814.1393568665
14,629707.4419570267
15,846051.5194376782
16,374375.6381271854
17,423266.8354846388
18,1177344.7047443613
19,689943.6432968751
20,338256.97157530487
21,96583.91143784672
22,255970.40068075806
23,241555.53721769154
24,908307.2602239177
25,417938.8093185201
26,691729.7096651196
27,702523.046348229
28,754167.9239292815
29,408760.7479469031
30,583784.2272621393
31,899031.9471126273
32,862148.4116756693
33,817514.865630962
34,1489837.4118429944
35,793155.4402958974
36,399779.1194069609
37,390692.43407738954
38,231175.41411413252
39,633305.4525350034
40,806523.1549099833
41,1163141.857150294
42,710363.1570026055
43,295461.12886820734
44,469109.1655693054
45,108842.94584998488
46,1011505.4207479656
47,581067.8647877425
48,669286.1597957164
49,242076.20079422742
50,444359.11031442136
51,302203.2339503616
52,422186.4714723751
53,593439.1011128798
54,139403.24916787446
55,1131974.0206076726
56,152678.5649240017
57,478864.9779980704
58,131315.77923691273
59,330447.89673828334
60,460367.3364099711
61,293038.4743390009
62,550614.3679508343
63,159495.16390835494
64,348603.8018480092
65,678052.3734413907
66,626582.1713496819
67,319611.8085029945
68,423913.8888560161
69,832727.8153819516
70,219255.35503464937
71,252275.75089608878
72,297086.28112671524
73,815423.6496010497
74,1188596.1041812524
75,1063836.8872580603
76,666394.3655655533
77,585308.4480918273
78,370355.4226168543
79,609181.0058354586
80,1685495.6165578663
81,769846.803279683
82,454113.0103262365
83,340808.39493293315
84,393568.99083967507
85,683050.3659023046
86,121985.31786241382
87,852849.4594933391
88,420739.30133773386
89,109710.41066975892
90,387439.3598188907
91,696745.4451809302
92,150556.6622513607
93,972679.7392378524
94,387880.2446972057
95,332823.2876242697
96,943718.1260287315
97,540724.4289258271
98,298596.532415241
99,430680.96673258394
100,931545.8095378205
101,581560.1967321262
102,277592.4302101061
103,442946.79953280836
104,672673.077914089
105,322617.4821008444
106,1125808.2465560287
107,276340.65906151384
108,1309775.9681334049
109,499804.05220030993
110,332690.4843771681
111,497787.7791656852
112,608621.6390848234
113,472194.38252674043
114,632739.1859263927
115,511331.9332110658
116,356937.8301258981
117,251843.86159876734
118,203155.53549148142
119,258047.31878699362
120,803907.5376607925
121,263873.68252103776
122,1072300.6100507006
123,239309.08337053657
124,850237.1673767343
125,439252.8766565174
126,573091.8519534096
127,1108156.4776104838
128,1018510.4741923213
129,619628.2713828832
130,334244.70930031687
131,753998.4256892577
132,461935.227809608
133,338302.9195889607
134,404010.3978500366
135,429466.78461045027
136,724155.9123397768
137,432768.5583511293
138,423145.07165233046
139,993623.9153370932
140,394780.4825494066
141,558380.4865300208
142,464897.2300644815
143,359343.95276575536
144,890976.4006563798
145,374701.2675057128
146,216740.56339801848
147,438179.379833661
148,180876.6243267581
149,1242449.9264392257
150,586124.9789605215
151,507429.90225052834
152,877825.0295996591
153,521198.16791671515
154,232149.46256145835
155,160101.80563490093
156,403352.44271912426
157,57879.975432924926
158,557376.7328213826
159,190849.36260389537
160,737593.6991141662
161,189086.7654028684
162,463148.0645417422
163,400553.46768469363
164,514552.1136135459
165,110181.4704542309
166,579310.516090244
167,369380.16215611994
168,1094988.559916988
169,600028.1278548166
170,531768.4380161017
171,423634.7160332203
172,506985.756746158
173,630429.3071407378
174,808799.9949541166
175,718729.2525279969
176,697684.1672298983
177,354284.8113175705
178,729132.5342493579
179,733076.5797405541
180,272380.90906571597
181,631944.3839255348
182,451260.5146331936
183,610650.9005699083
184,289045.76678011566
185,574348.041388467
186,556645.8132063895
187,832266.6772317216
188,558095.9362884462
189,337882.88622546196
190,1293327.3853518069
191,415088.8657389656
192,349592.67487897724
193,19661.802012972534
194,563837.0355745181
195,468893.9702280462
196,358621.7731842175
197,128572.30781521648
198,710552.0132835284
199,295678.3367508501
200,520580.39393375814
201,608762.4191511795
202,607971.7585401163
203,619194.7357612997
204,676808.6190540567
205,245422.2847307846
206,369100.4639293328
207,142945.1161462739
208,715980.4175781086
209,497155.0948910117
210,549159.6209592298
211,1295597.6609459594
212,688660.8504505828
213,300289.7772953734
214,233882.28181304038
215,157211.8170088753
216,734547.6801832393
217,460038.7456950098
218,486526.3771838546
219,1049465.8882694244
220,398736.4817297235
221,429206.6179923564
222,462347.35481818765
223,497390.2487098053
224,441854.84657960385
225,635774.9943676814
226,932885.3275336921
227,668872.68306835
228,427086.460400708
229,114526.0308964625
230,603942.2942271382
231,426926.26841583103
232,448921.34224303067
233,726600.9021451399
234,230181.07149439305
235,232230.0973950252
236,471437.4928132817
237,317052.920873113
238,704634.0005033016
239,636483.2494667098
240,867171.2424692065
241,1591920.1150083244
242,396031.33298258483
243,167117.05174509436
244,517566.71793574095
245,452262.87649568915
246,553291.8976367041
247,456620.86686095595
248,48852.58387507498
249,631455.4970325977
250,1298449.5558191314
251,670740.2092279941
252,169308.8918577358
253,1262300.7763198242
254,764015.8693448976
255,177242.26712609828
256,342617.2592056617
257,231354.4213617891
258,451001.0152011812
259,707344.8832720816
260,501901.54036925733
261,391129.9115222767
262,121266.02466946095
263,462070.17989626527
264,191206.7948591709
265,573546.4338296279
266,805834.7090986669
267,703717.4137552306
268,1015272.0269173682
269,221504.45418009907
270,916846.4904852659
271,289718.59969397634
272,1071827.9467239156
273,610565.7177420333
274,162733.38896155357
275,802812.4979074225
276,501312.3325732723
277,1036424.425462313
278,675684.1053909361
279,721765.3958761543
280,534638.4849901497
281,624403.9944497123
282,532507.8073769137
283,270540.0549438074
284,406721.4807581529
285,634420.6021285132
286,854309.9434557185
287,902922.6796226129
288,271039.7608410567
289,109765.00572238863
290,548536.9497477114
291,343902.0477239564
292,1982028.8553290516
293,83669.42782627046
294,657705.5212586448
295,605601.87655586
296,885010.3356428891
297,555293.0976572931
298,375653.24341685325
299,551162.3345708475
300,1363821.3397988677
301,742813.8944058493
302,578225.0188978836
303,588156.963105008
304,551303.7355202213
305,959644.0165557563
306,764786.484301582
307,239012.88631693274
308,381682.49327205867
309,180253.6062495783
310,252832.39162030816
311,388291.9685876146
312,585615.2330735698
313,404185.91186891496
314,600488.832983695
315,337225.2820404917
316,464613.0018129274
317,548019.1346878856
318,275481.4660727158
319,671610.9455956072
320,753065.2398840114
321,226849.8430807367
322,248163.3922098875
323,328378.0052767396
324,542467.2934392467
325,477292.1681949273
326,460329.5154962316
327,768994.5164490789
328,695588.5637329817
329,489876.3250885159
330,366377.3661866635
331,934717.5870441273
332,463866.10671648383
333,836370.9437543973
334,357261.6582483575
335,180275.0808166191
336,1154079.4711610973
337,561169.7995675579
338,1347789.69835826
339,1124199.768162921
340,74439.15986897051
341,709898.8559767157
342,610594.7538200542
343,556198.6037698388
344,533054.9632699043
345,479919.4309359044
346,470684.8921747282
347,509156.70405270904
348,499278.13150631636
349,353350.6568542868
350,163444.01982708275
351,1243196.3011009172
352,477717.02882678807
353,477399.2421917245
354,109142.36217615008
355,259828.96315614134
356,796390.6543479785
357,865797.6340784058
358,436506.0402566269
359,536624.6024133265
360,599333.5017783195
361,1075516.9134533852
362,862636.4964758158
363,360127.7021968588
364,245239.18602351844
365,43070.74369790405
366,470671.9013786316
367,380617.04711099714
368,1207177.4763855264
369,570568.8229154348
370,643548.1425924152
371,591663.3782953769
372,877444.6787622124
373,472168.30929947644
374,540645.2280846611
375,137210.07429551333
376,216737.62615793943
377,254523.6220948398
378,178640.2913844213
379,580850.8981991783
380,397247.45911378413
381,790246.4238406271
382,372206.1004286781
383,524908.4845462516
384,1141702.9617036209
385,682781.1959037259
386,608508.6495412514
387,488892.02740985155
388,408024.2186034173
389,183492.4929893911
390,530908.7103926241
391,602464.3620815426
392,1088106.1748287827
393,971297.3285676688
394,420716.96497417986
395,149114.15807063878
396,347600.8062100485
397,702347.4798600301
398,88816.75701566786
399,741256.8335781321
400,705923.4598595574
401,482030.962937288
402,109176.58886822313
403,136161.07677428424
404,707360.6370965168
405,156173.7828578949
